,TER,MRNA,GLW,VRT,CNC,CAT,HPE,JBHT,VLO,CF
TER,1.0,0.23353791879228905,0.5235223961735223,0.4488526156152159,-0.07334064984049804,0.4767002076815937,0.3461669929426609,0.3040285061704389,0.11249070052863878,-0.10754454548569796
MRNA,0.23353791879228905,1.0,0.24514205756801782,0.20489173959390308,0.0233404144646341,0.19855277047322217,0.07864381155744392,0.117254083177158,-0.027728377530830513,-0.06896312903836752
GLW,0.5235223961735223,0.24514205756801782,1.0,0.47072782971630345,-0.06581070033260868,0.5317245089662321,0.34953034726501914,0.19860583313290509,-0.002584724035423594,-0.11733207475019551
VRT,0.4488526156152159,0.20489173959390308,0.47072782971630345,1.0,-0.02195767475240485,0.556616874364823,0.40253270891525966,0.09890369232875229,0.14062191772482904,0.06209960496892139
CNC,-0.07334064984049804,0.0233404144646341,-0.06581070033260868,-0.02195767475240485,1.0,0.08397044010413784,-0.18276875905038276,0.12176658182517379,-0.0022250528459120318,-0.021045625307263477
CAT,0.4767002076815937,0.19855277047322217,0.5317245089662321,0.556616874364823,0.08397044010413784,1.0,0.3385232001794046,0.41640367883157947,0.2643569092001062,0.05190637924481873
HPE,0.3461669929426609,0.07864381155744392,0.34953034726501914,0.40253270891525966,-0.18276875905038276,0.3385232001794046,1.0,0.18660647627800145,0.27134025512759713,0.04430770124829287
JBHT,0.3040285061704389,0.117254083177158,0.19860583313290509,0.09890369232875229,0.12176658182517379,0.41640367883157947,0.18660647627800145,1.0,0.2588481302115949,-0.06481077539599994
VLO,0.11249070052863878,-0.027728377530830513,-0.002584724035423594,0.14062191772482904,-0.0022250528459120318,0.2643569092001062,0.27134025512759713,0.2588481302115949,1.0,0.5608964564492606
CF,-0.10754454548569796,-0.06896312903836752,-0.11733207475019551,0.06209960496892139,-0.021045625307263477,0.05190637924481873,0.04430770124829287,-0.06481077539599994,0.5608964564492606,1.0
