,TER,MRNA,GLW,VRT,CNC,CAT,HPE,JBHT,VLO,CF
TER,1.0,0.23353800289723944,0.5235224292413032,0.44885238948982054,-0.07334043561587579,0.47669994082354,0.34616691905078734,0.30402847914283476,0.11249039499796878,-0.10754428787052378
MRNA,0.23353800289723944,1.0,0.2451418901402331,0.2048918981171786,0.0233404144646341,0.1985530060228483,0.07864359801667921,0.11725387399423254,-0.027728475960357834,-0.0689631959763031
GLW,0.5235224292413032,0.2451418901402331,1.0,0.4707276452477476,-0.06581075740250154,0.5317244387540553,0.34953032389202976,0.19860565294517057,-0.0025848977101397734,-0.11733206189999783
VRT,0.44885238948982054,0.2048918981171786,0.4707276452477476,1.0,-0.021957800934462878,0.5566170646730739,0.40253279730340774,0.09890350887712827,0.14062178514117302,0.06209986789827612
CNC,-0.07334043561587579,0.0233404144646341,-0.06581075740250154,-0.021957800934462878,1.0,0.08397047233478766,-0.18276888933453928,0.12176686902923943,-0.002224935514011914,-0.021045452924842497
CAT,0.47669994082354,0.1985530060228483,0.5317244387540553,0.5566170646730739,0.08397047233478766,1.0,0.3385232109452883,0.41640328149439265,0.2643569202653716,0.05190610464982788
HPE,0.34616691905078734,0.07864359801667921,0.34953032389202976,0.40253279730340774,-0.18276888933453928,0.3385232109452883,1.0,0.18660605072110908,0.2713401306876069,0.04430805234879043
JBHT,0.30402847914283476,0.11725387399423254,0.19860565294517057,0.09890350887712827,0.12176686902923943,0.41640328149439265,0.18660605072110908,1.0,0.2588479246620669,-0.064810976439476
VLO,0.11249039499796878,-0.027728475960357834,-0.0025848977101397734,0.14062178514117302,-0.002224935514011914,0.2643569202653716,0.2713401306876069,0.2588479246620669,1.0,0.560896106076375
CF,-0.10754428787052378,-0.0689631959763031,-0.11733206189999783,0.06209986789827612,-0.021045452924842497,0.05190610464982788,0.04430805234879043,-0.064810976439476,0.560896106076375,1.0
